pid,tid,home_size,parcel_size,beds,age,pool,price,year,cbd_dist,x_coord,y_coord
379,4545,1427,4722,3,0,0,92.184,2000,8451.93,562339.4,1534707
380,6492,3128,10376,4,1,1,917.095,2002,7866.28,549119.8,1552603
381,472,1014,13500,2,51,0,50.102,2002,4893.37,528287.6,1516434
382,6022,2652,6873,5,2,0,274.178,2002,2778.43,535297.4,1540205
383,2952,1817,3640,3,0,0,170.699,2002,16354.7,505357.4,1575961
384,9535,1642,8200,3,0,0,119.262,2001,11851.08,500613.4,1549580
386,3247,3080,19283,4,0,1,234.969,2002,19645.21,476938,1502729
387,1152,2582,7565,4,0,0,224.988,2004,16356.93,587945.8,1523273
388,931,1842,6062,3,7,0,154.018,2004,21314.09,601594.4,1551993
391,1798,1437,10564,3,48,0,96.536,2002,6999.55,530235.9,1508591
392,8430,1334,5750,3,9,0,124.604,2002,16810.65,529560,1476176
393,9784,1379,8442,3,33,0,108.183,2002,4785.68,546851.7,1520982
395,1381,1402,11360,3,43,0,153.244,2003,9035.35,548625.3,1557358
396,7198,2400,58457,3,21,0,614.854,2000,18847.56,485500.8,1493025
397,7105,1392,6756,3,8,0,119.774,2002,9712.68,563940.1,1518094
398,597,1607,5609,3,12,1,155.468,2002,21463.57,521373.4,1461954
399,1224,5372,25911,4,14,1,518.672,2003,15611.12,490436.4,1505531
400,5743,1690,5635,4,2,0,143.703,2001,19144.61,597566.2,1527520
401,1369,806,15972,2,72,0,29.686,2002,9871.44,522140.2,1560904
402,654,1170,5752,3,0,0,100.171,2004,6878.42,512686.6,1526738
403,2640,1290,8378,3,32,1,93.775,2003,8305.62,512632.8,1546910
404,262,2507,23075,4,13,1,341.505,2005,12334.3,496315.9,1518654
406,3908,1100,1999,3,14,0,49.911,2000,21992.3,462676.2,1532689
407,4138,2887,28896,4,29,1,683.963,2004,9401.11,545897.1,1559948
409,7687,1823,9902,3,17,0,176.724,2004,13065.83,492379.7,1537118
412,6968,1370,7110,4,31,0,89.186,2003,19226.9,596336.6,1545224
413,5571,2411,12262,4,12,1,221.163,2000,12458.91,499031.2,1511351
414,8187,1449,5225,4,0,0,135.175,2002,14413.83,578493.1,1512879
417,5492,1000,6757,3,42,0,68.519,2002,11585.43,513819.6,1499411
423,4522,1327,11175,3,21,1,144.608,2004,11256.71,507593.7,1556051
424,5636,1451,3399,4,8,0,101.83,2002,15323.67,502333,1569474
425,245,1684,6601,4,0,1,171.259,2003,21427.69,605128.6,1533235
426,4611,1130,7909,3,32,0,77.916,2002,12683.48,501336.9,1555807
427,5263,1579,5720,3,8,0,112.279,2001,14110.84,580818.1,1525584
428,552,1158,6116,3,13,0,78.536,2000,10764.64,502932.9,1546290
429,7601,2234,10075,3,8,1,289.777,2002,1681.76,536898.8,1525978
430,2824,3050,12358,3,2,1,277.914,2001,20218.71,601023.8,1526358
431,4148,1534,11795,3,19,1,154.833,2001,7592.32,550772.4,1511942
432,4933,2216,9267,3,1,0,211.113,2004,23845.64,479103.3,1586041
434,5833,1826,4266,3,6,0,263.753,2003,2087.25,529518.6,1535416
435,5661,1652,5539,3,10,0,130.408,2000,21469.36,522033.3,1461809
436,9730,2338,13295,4,4,1,340.876,2005,21016.35,511414.1,1466222
437,9354,1784,4400,3,0,0,128.09,2001,23744.3,457833.6,1519078
438,5077,2371,11628,4,0,0,180.685,2002,14865.62,491020.8,1552557
440,9565,1304,6601,2,33,0,124.341,2003,10831.68,567569.9,1544963
441,6668,1163,3577,3,9,0,96.462,2003,21078.52,538772.6,1462031
443,2465,1522,10739,3,36,1,145.287,2002,8055.22,540552.3,1505286
445,3479,1419,13065,3,19,0,133.22,2002,6930.29,555086.8,1520741
448,8524,2202,12849,4,14,1,161.712,2002,11829.55,573232.8,1525351
450,3425,2735,7101,4,0,1,239.075,2003,20995.37,510189.8,1466750
454,5078,1850,2555,3,15,0,170.468,2004,15253.9,496914.6,1498414
457,9981,3493,12842,4,1,1,570.177,2005,13211.22,491985.2,1524483
458,6794,2598,9230,4,6,1,189.339,2001,16931.5,533339.9,1475549
459,7472,1451,11177,4,30,0,137.057,2003,8491.41,553541.8,1510440
460,8649,1098,8182,2,42,0,69.32,2000,8117.16,508779.8,1536643
461,2784,2299,6077,4,3,0,196.513,2003,21650.73,509980.6,1464530
462,2067,1943,12777,4,15,1,139.491,2003,13195.21,492510.4,1540259
463,9160,2261,14620,4,5,1,199.272,2003,15917.65,482667.3,1528359
464,8605,1577,5053,3,6,0,136.741,2003,15202.63,584698.1,1532903
466,7315,2520,12494,4,0,1,244.032,2000,17995.07,476056.9,1525359
470,6202,2042,6466,4,0,0,196.518,2003,23488.68,458085.1,1523818
472,1188,1517,7905,4,42,0,133.797,2004,9227.57,529600.1,1501269
474,6127,1619,8775,3,48,0,102.826,2001,7541.33,559567.6,1530127
475,5974,1660,2909,3,0,0,153.832,2004,22389.87,607304.4,1518929
476,3751,2837,24000,4,15,1,450.157,2004,18660.07,474591,1520097
477,4608,1928,8055,3,0,0,154.736,2001,18950.28,472679.1,1528964
478,2026,1538,9294,3,14,0,137.258,2004,9346.68,565506.3,1531677
479,6799,1898,8193,4,6,0,145.18,2001,7022.51,553679.1,1517826
480,9582,2848,10575,3,0,0,234.685,2001,16627.47,588147,1519439
483,4674,1350,8711,3,39,0,82.004,2004,3746.14,523424.6,1526523
484,4154,1612,7449,3,15,0,102.801,2000,13924.94,577191.3,1548263
485,8401,1278,1701,2,0,0,133.373,2004,17704.1,592810.6,1534980
487,4459,2529,12593,4,0,0,236.608,2004,26639.18,485185.8,1603060
488,7182,1438,8653,3,49,0,199.048,2001,5155.83,545116.1,1544538
489,5793,1498,7249,4,18,0,114.021,2004,8295.55,507610.4,1531334
490,8910,1309,4004,3,0,0,95.161,2000,10292.54,565505.9,1516936
491,5670,2293,10959,4,16,1,224.317,2003,12357.32,498581.1,1512922
493,9378,1528,6501,4,41,0,103.761,2004,9271.27,555767.1,1509012
496,955,1265,5610,3,5,0,99.443,2001,15269.21,498926.6,1566052
498,5001,1093,6571,3,18,0,102.691,2004,10437.99,520689.4,1562297
500,7755,3888,14928,4,1,1,447.343,2002,18167.6,482783.9,1502016
502,870,1859,16215,4,12,1,150.631,2000,7152.1,550154.8,1513312
507,2982,1206,4059,2,0,0,125.846,2003,23121.44,608870.3,1514446
510,9357,2508,11245,4,3,0,234.668,2001,17513.25,499890.4,1485464
512,6709,1918,5251,4,13,1,166.369,2004,18438.61,521049.1,1472174
514,470,1200,12003,3,48,0,67.246,2002,20568.46,492111,1583361
515,8030,1858,5594,3,0,0,215.147,2003,17023.53,571273.8,1488744
517,4895,1483,5000,3,5,0,148.361,2003,19100.92,597451.3,1528065
518,8531,3100,7979,5,1,1,267.95,2001,15099.33,583114.9,1519921
520,3740,1739,11417,3,0,0,142.956,2002,14255.81,581483.6,1527485
522,1653,1025,7641,3,33,0,86.467,2004,18129.91,501818.6,1580605
523,4908,2257,9839,4,44,0,103.027,2004,8979.09,506232.6,1538186
524,2940,1659,10058,3,40,1,165.491,2005,8430.76,551321.9,1553320
525,182,1546,11461,3,25,0,141.928,2004,10709.95,569341,1524395
526,7475,1268,7000,3,0,0,89.839,2000,8904.39,505633,1529941
528,1455,1125,8235,3,31,0,100.428,2005,10831.11,507211.7,1553469
530,1441,1310,4924,3,0,0,112.897,2001,12169.7,513110.3,1564612
531,4139,2153,7354,4,8,1,191.195,2002,16952.1,590259.3,1526233
532,156,2010,17270,3,10,0,259.402,2004,12412.03,499584.4,1510684
533,720,10796,86488,6,2,1,7629.992,2003,17902.64,481460,1506538
534,1712,1704,5941,3,0,0,164.013,2003,13083.41,573633.5,1512698
535,6593,1980,10456,5,37,0,292.692,2004,7454.46,549740.8,1550499
536,6530,1708,6326,3,0,0,165.694,2000,10982.02,504389.5,1511809
537,7825,2338,15745,3,0,0,301.658,2002,19984.94,479611.6,1495711
539,7148,2075,7177,4,0,0,153.242,2000,17241.79,506683.6,1580184
541,1089,2765,10817,4,0,0,264.735,2001,20623.27,529375.8,1463634
542,2109,1150,6001,3,31,0,81.938,2001,10876.14,567567.8,1545338
543,4032,1300,4401,3,7,0,134.616,2004,20002.29,469193,1531748
544,8626,1135,3600,3,15,0,82.52,2001,15656.46,500382.1,1569218
545,6078,1194,5001,3,0,0,83.852,2000,12455.13,566704.1,1505497
547,5150,4022,10874,6,0,0,221.055,2003,21265.74,604629.3,1530906
549,4445,3019,12888,4,0,1,395.293,2004,22016.85,485731.5,1584106
554,7588,1315,7511,3,14,0,122.847,2003,15632.85,583005.8,1548762
555,5394,964,4107,2,101,0,15.296,2002,19193.45,472303.3,1538688
556,2659,2756,8260,4,3,0,224.958,2005,20438.48,601913.8,1531428
559,7861,1351,7642,3,13,1,154.699,2005,28537.08,485491.2,1610701
560,9091,2741,11724,4,6,0,373.216,2000,8655.27,550361.6,1554883
565,5053,1173,7800,2,44,0,159.065,2004,3127.5,540733.2,1522696
566,4881,1628,6799,1,55,0,54.374,2001,3045.28,542336.3,1524491
567,4382,1724,2080,3,5,0,102.011,2002,20280.97,537500.6,1464590
568,5980,1555,9943,3,0,0,129.375,2002,23910.5,479204.7,1586454
570,4596,1480,16147,3,32,0,155.572,2004,12099.03,501778.5,1509166
571,7843,1565,5751,3,12,0,143.18,2003,18260.63,521080.6,1472767
572,4404,1248,7730,3,31,0,121.371,2001,4752.99,544349.1,1518735
573,4039,3104,9250,5,3,0,238.468,2004,14843.11,486810.9,1539261
574,2472,1258,8396,2,45,0,83.55,2000,6292.39,554980.8,1526550
577,7719,2878,9750,4,0,0,294.74,2003,22625.45,461149.4,1521925
578,3389,2142,6630,4,0,0,115.693,2000,22125.95,489045.1,1587456
